TripID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RatecodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,improvement_surcharge,tip_amount,tolls_amount,total_amount
24870114,2,03/25/2017 8:55:43 AM,03/25/2017 9:09:47 AM,6,3.34,100,231,1,N,1,13,0,0.5,0.3,2.76,0,16.56
35634249,1,04/11/2017 14:53,04/11/2017 15:19,1,1.8,186,43,1,N,1,16,0,0.5,0.3,4,0,20.8
106203690,1,12/15/2017 7:26:56 AM,12/15/2017 7:34:08 AM,1,1,262,236,1,N,1,6.5,0,0.5,0.3,1.45,0,8.75
38942136,2,05/07/2017 13:17,05/07/2017 13:48,1,3.7,188,97,1,N,1,20.5,0,0.5,0.3,6.39,0,27.69
30841670,2,04/15/2017 11:32:20 PM,04/15/2017 11:49:03 PM,1,4.37,4,112,1,N,2,16.5,0.5,0.5,0.3,0,0,17.8
23345809,2,03/25/2017 8:34:11 PM,03/25/2017 8:42:11 PM,6,2.3,161,236,1,N,1,9,0.5,0.5,0.3,2.06,0,12.36
37660487,2,05/03/2017 19:04,05/03/2017 20:03,1,12.83,79,241,1,N,1,47.5,1,0.5,0.3,9.86,0,59.16
69059411,2,08/15/2017 5:41:06 PM,08/15/2017 6:03:05 PM,1,2.98,237,114,1,N,1,16,1,0.5,0.3,1.78,0,19.58
8433159,2,02/04/2017 16:17,02/04/2017 16:29,1,1.2,234,249,1,N,2,9,0,0.5,0.3,0,0,9.8
95294817,1,11/10/2017 15:20,11/10/2017 15:40,1,1.6,239,237,1,N,1,13,0,0.5,0.3,2.75,0,16.55
18017909,2,03/04/2017 11:58,03/04/2017 12:13,1,1.77,162,142,1,N,1,11.5,0,0.5,0.3,2.46,0,14.76
18600059,2,03/05/2017 19:15,03/05/2017 19:52,2,18.9,236,132,2,N,1,52,0,0.5,0.3,14.58,5.54,72.92
46782248,1,06/09/2017 19:00,06/09/2017 19:20,1,3,13,148,1,N,1,15,1,0.5,0.3,3.35,0,20.15
94113247,2,11/06/2017 23:35,11/06/2017 23:42,1,2.39,209,25,1,N,1,9.5,0.5,0.5,0.3,2.16,0,12.96
14168279,1,02/22/2017 3:18:31 PM,02/22/2017 3:42:50 PM,1,3.3,238,161,1,N,1,17.5,0,0.5,0.3,4.55,0,22.85
47444401,2,06/02/2017 06:41,06/02/2017 06:57,1,5.93,239,231,1,N,1,19,0,0.5,0.3,3,0,22.8
69088676,1,08/15/2017 7:48:08 PM,08/15/2017 8:00:37 PM,1,3.6,163,41,1,N,1,12.5,1,0.5,0.3,2.85,0,17.15
58691513,2,07/10/2017 13:36,07/10/2017 13:48,2,1.71,142,100,1,N,1,9.5,0,0.5,0.3,0,0,10.3
35388828,2,04/10/2017 18:12,04/10/2017 18:17,2,0.63,263,262,1,N,2,5,1,0.5,0.3,0,0,6.8
18383214,2,03/05/2017 04:01,03/05/2017 04:14,2,2.77,79,68,1,N,1,11.5,0.5,0.5,0.3,3.2,0,16
110690689,1,12/30/2017 11:52:44 PM,12/30/2017 11:58:57 PM,1,1.1,166,238,1,N,2,6.5,0.5,0.5,0.3,0,0,7.8
85505540,2,10/11/2017 12:34,10/11/2017 13:22,1,12.3,138,265,5,N,1,68.25,0,0,0.3,12,16.26,96.81
113074702,2,01/06/2017 20:12,01/06/2017 20:18,1,0.52,90,249,1,N,1,5.5,0.5,0.5,0.3,1,0,7.8
54636365,1,06/27/2017 12:08:22 AM,06/27/2017 12:13:45 AM,1,1.7,162,263,1,N,1,7,0.5,0.5,0.3,2.05,0,10.35
10565287,1,02/13/2017 10:29:33 AM,02/13/2017 10:34:11 AM,1,0.9,237,237,1,N,1,5.5,0,0.5,0.3,1.25,0,7.55
111209513,2,01/14/2017 7:58:42 PM,01/14/2017 8:05:59 PM,1,1.72,43,141,1,N,1,8,0.5,0.5,0.3,2.79,0,12.09
93194366,1,11/04/2017 01:27,11/04/2017 01:44,1,2.7,50,263,1,N,1,13,0.5,0.5,0.3,2.85,0,17.15
99525452,2,11/24/2017 10:48:13 AM,11/24/2017 10:52:57 AM,1,0.85,237,161,1,N,2,5.5,0,0.5,0.3,0,0,6.3
99074251,1,11/22/2017 10:24:17 AM,11/22/2017 10:38:52 AM,1,2.3,162,113,1,N,1,11,0,0.5,0.3,2.35,0,14.15
94052446,2,11/06/2017 20:30,11/07/2017 00:00,1,30.83,132,23,1,N,1,80,0.5,0.5,0.3,18.56,11.52,111.38
67540161,1,08/09/2017 21:01,08/09/2017 21:14,1,2.3,163,234,1,N,1,10.5,0.5,0.5,0.3,1.77,0,13.57
35914864,1,04/12/2017 11:07,04/12/2017 11:19,4,1.5,239,43,1,N,2,9,0,0.5,0.3,0,0,9.8
63600506,2,07/26/2017 11:26:50 PM,07/26/2017 11:55:49 PM,1,14.32,132,149,1,N,2,40.5,0.5,0.5,0.3,0,0,41.8
90465096,1,10/26/2017 7:43:07 PM,10/26/2017 8:06:02 PM,1,2.9,230,238,1,N,1,15.5,1,0.5,0.3,3.45,0,20.75
18173620,1,03/04/2017 18:19,03/04/2017 18:32,1,1.7,236,161,1,N,1,10.5,0,0.5,0.3,1.7,0,13
93554066,2,11/05/2017 01:35,11/05/2017 01:43,5,2.69,24,48,1,N,2,9.5,0.5,0.5,0.3,0,0,10.8
14770087,1,02/24/2017 11:24:50 AM,02/24/2017 11:29:18 AM,1,0.6,142,142,1,N,2,5,0,0.5,0.3,0,0,5.8
14373799,2,02/23/2017 8:04:57 AM,02/23/2017 8:18:48 AM,1,2.11,140,161,1,N,1,11.5,0,0.5,0.3,2.46,0,14.76
10421657,1,02/12/2017 18:45,02/12/2017 18:48,4,0.4,142,143,1,N,1,4,0,0.5,0.3,0.72,0,5.52
103916069,2,12/08/2017 12:21,12/08/2017 12:30,1,1.28,238,166,1,N,1,7.5,0,0.5,0.3,5,0,13.3
77743944,2,09/15/2017 7:09:51 PM,09/15/2017 7:23:06 PM,3,1.23,90,79,1,N,1,9.5,1,0.5,0.3,2.26,0,13.56
15086430,1,02/25/2017 7:41:32 AM,02/25/2017 7:50:26 AM,1,2,170,113,1,N,1,9,0,0.5,0.3,1.95,0,11.75
103823476,2,12/08/2017 07:59,12/08/2017 08:15,1,4.52,116,239,1,N,1,16.5,0,0.5,0.3,2,0,19.3
34535675,2,04/26/2017 11:18:27 AM,04/26/2017 11:24:59 AM,2,1.12,234,211,1,N,1,6.5,0,0.5,0.3,1.82,0,9.12
11969477,2,02/15/2017 5:30:24 PM,02/15/2017 5:35:24 PM,1,0.59,249,113,1,N,1,5,1,0.5,0.3,1.36,0,8.16
68798000,1,08/14/2017 5:15:32 PM,08/14/2017 5:25:28 PM,1,1.5,239,230,1,N,1,8.5,1,0.5,0.3,2.55,0,12.85
74499650,2,09/05/2017 15:10,09/05/2017 15:25,4,1.71,162,186,1,N,2,10.5,0,0.5,0.3,0,0,11.3
3377025,2,01/13/2017 2:37:24 AM,01/13/2017 3:17:34 AM,4,8.69,246,231,1,N,1,31.5,0.5,0.5,0.3,6.56,0,39.36
16623511,2,03/11/2017 04:46,03/11/2017 04:57,6,2.69,79,88,1,N,2,11,0.5,0.5,0.3,0,0,12.3
34839590,2,04/27/2017 7:26:57 AM,04/27/2017 7:28:21 AM,1,0.42,234,107,1,N,1,3.5,0,0.5,0.3,0.86,0,5.16
59540954,2,07/13/2017 8:23:29 AM,07/13/2017 8:47:40 AM,2,7.37,263,88,1,N,2,25.5,0,0.5,0.3,0,0,26.3
27809467,1,04/04/2017 16:22,04/04/2017 16:35,1,2.2,163,90,1,N,2,10.5,1,0.5,0.3,0,0,12.3
1361166,1,01/05/2017 14:56,01/05/2017 15:24,2,2.6,100,237,1,N,2,17.5,0,0.5,0.3,0,0,18.3
25497357,2,03/28/2017 7:10:03 PM,03/28/2017 7:13:20 PM,1,0.8,151,239,1,N,1,4.5,1,0.5,0.3,1.26,0,7.56
73498565,1,09/01/2017 09:37,09/01/2017 10:00,1,2.9,24,48,1,N,2,16,0,0.5,0.3,0,0,16.8
